multiplex	node	score
1	TP53	0.02416156076809855
1	EGFR	0.023783583753940195
1	CDK4	0.023769060011562468
1	STAT3	0.02369162972903858
1	CDH1	0.023630433640342424
1	TYMS	0.023618607224669855
1	ERBB2	0.02356891383077807
1	APC	0.02356152423701973
1	ERBB3	0.023547596315709043
1	RUNX3	0.02352693339761659
1	MET	0.023511315639208115
1	MTHFR	0.023503990193553283
1	KRAS	0.02348210196727937
1	CDKN2A	0.023468421307290165
1	PIK3CA	0.02346446588922374
1	CDKN1A	0.02345619552020459
1	FGFR2	0.023449431988892686
1	AXIN2	0.023435107509586658
1	TNF	0.023414466993670547
1	ATM	0.023414012452501097
1	DLC1	0.023407573986900753
1	IRF1	0.02340494955718708
1	BAP1	0.023399038026501267
1	BIRC5	0.023395550324685783
1	IL1B	0.02338928847214075
1	PTGS2	0.023387980660336073
1	MUTYH	0.023380135045780914
1	CASP10	0.023378553702944612
1	IL1RN	0.02337506861183586
1	KLF6	0.023369869398120125
1	RELA	0.0012986655733631613
1	APP	0.0010423673950828102
1	SP1	0.0008852813866962497
1	IL1R1	0.0008780453002186286
1	IL1R2	0.0008712146738124928
1	NR3C1	0.000826207740191756
1	ELAVL1	0.0007672213993908358
1	SMAD1	0.0007455091191858017
1	TBC1D22B	0.0006830385025900883
1	CDK15	0.000670031882284088
1	FTH1	0.0006669282671727305
1	POT1	0.0006667675024277567
1	TERF2IP	0.0006558808371746458
1	FCF1	0.00064630957274294
1	SEC22C	0.0006392270185121952
1	TRIM25	0.0006321323112584523
1	CTNNB1	0.0006212018548111341
1	MDM2	0.0006030145747161295
1	PKM	0.0006020121887935898
1	HSP90AA1	0.0005746773156505709
1	EP300	0.0005601507604062146
1	FANCC	0.0005303360491645445
1	MYC	0.0005184415161608236
1	BAAT	0.0004933649642475121
1	AKT1	0.00046654712368208816
1	LOC100293888	0.0004658053244789803
1	XPA	0.00046518190941548433
1	JUN	0.0004598491032829913
1	TDRD7	0.00045410811429394377
1	E2F1	0.0004525519002956137
1	CASP8	0.00044934207246490943
1	RASA1	0.00044699189906138344
1	COPS5	0.00043865758288645217
1	LMNA	0.0004383733795490961
1	HRAS	0.0004373282860186012
1	LYN	0.00043440050834194107
1	PCNA	0.0004313964342202221
1	BIRC3	0.00042400738262949776
1	HUWE1	0.00042277601646293256
1	RPA1	0.00042276939071649684
1	FYN	0.0004207404288028876
1	TRAF6	0.0004119883071110611
1	FBL	0.00041094523790570546
1	MSH2	0.0004040099620419652
1	SUMO2	0.000401771557229023
1	CASP1	0.00040163205981473305
1	CUL1	0.00039881834418469263
1	CBL	0.0003945604343310996
1	HDAC3	0.00039323839597231463
1	UBE2N	0.0003930196849698933
1	CASP4	0.0003872177729137212
