multiplex	node	score
1	CYP2C19	0.023753032940356984
1	PTGS1	0.02365938212034104
1	CDKN1A	0.0235398267408738
1	CDKN2C	0.023474866446467024
1	CDKN2B	0.02346491914323055
1	TLR4	0.023435064924609995
1	ELN	0.023431740544909426
1	TNF	0.023419689985371694
1	CNR1	0.023415699825109427
1	EDN1	0.02340862613516088
1	CXCL8	0.023408126166384165
1	IL1B	0.023395274553949272
1	GTF2IRD1	0.023393125134341324
1	CDKN1B	0.023391199038291666
1	S100A8	0.02338802548941036
1	LIMK1	0.02338687544506186
1	GAST	0.023386088309614066
1	GSR	0.023385513297320085
1	GTF2I	0.023382797958893482
1	HMOX1	0.023382270123245324
1	BAZ1B	0.023382019552567065
1	SERPINE1	0.023377166512421152
1	CDC73	0.023377069550495178
1	MEN1	0.02337242174856222
1	ABCB1	0.023360802679755883
1	RFC2	0.023359953740267756
1	CLIP2	0.02335444680739493
1	TBL2	0.023350234517856585
1	SLCO2A1	0.023335232044631504
1	HPGD	0.023334416970866842
1	APP	0.00805865112165971
1	GRB2	0.007259406196244286
1	MYC	0.0010510882480408695
1	GNAI2	0.0009676423954697265
1	MET	0.0009081214366141829
1	JUN	0.0008879768738909437
1	ELAVL1	0.0008592631993908564
1	GNAI1	0.0008201769674847454
1	MAPRE1	0.0008115382148241072
1	GNAI3	0.0008053036179709597
1	GNA15	0.0007957548435506129
1	RAP1GAP	0.0007862557431637429
1	ADORA2A	0.0007856495881574389
1	HTR2A	0.0007846562604618017
1	TUBA1A	0.0007842666665575469
1	HCRTR1	0.0007839689482869671
1	BAG6	0.0007355698326028195
1	SP1	0.0007199263797559895
1	CAV1	0.000702891561212669
1	CYP1A1	0.0006916472858033459
1	TP53	0.0006617767218184529
1	CYP51A1	0.0006501864169823863
1	CYP1A2	0.0006482948318615597
1	CYP19A1	0.0006470507621720657
1	CMA1	0.0006459945638905923
1	CYP1B1	0.0006451314442976508
1	MME	0.000644939319588207
1	CYP4F8	0.0006446794736610794
1	CYP2F1	0.0006439592354168007
1	SMAD3	0.0006318517612639754
1	DYNLL1	0.0006298416310475715
1	PTGS2	0.0006285918839455582
1	COPS6	0.0006152784467158666
1	MAX	0.0006049067590767354
1	NTRK1	0.000596697606618839
1	BCAP31	0.0005960052709346449
1	IFT57	0.0005951866064719831
1	KLC4	0.0005945061666506803
1	ITSN1	0.0005943369299493116
1	CLASP2	0.0005925736360654775
1	FOS	0.0005921238016381917
1	KATNA1	0.0005909930415102374
1	TRIM9	0.0005900577474528652
1	CLASP1	0.0005886979191504568
1	AKT1	0.0005797460527191888
1	UBQLN4	0.0005654856847222336
1	H2BC21	0.000553804257763293
1	TP53BP1	0.0005468589021166649
1	SUMO2	0.0005369606544524538
1	SRC	0.0005339973517937469
1	H2BC9	0.000513523028798412
1	LGALS3	0.0005079594548895335
1	PRTN3	0.0004939090029727433
1	TRIM25	0.00047829996942953644
1	ESR2	0.00047668921337843767
1	NCL	0.0004735270772482656
1	HSPD1	0.0004653856242499534
1	CDK2	0.000447275009961155
1	ESR1	0.00044651656378613387
1	FYN	0.00043132845266203587
1	RNF123	0.00042770493940196734
1	GATA2	0.0004247832653277226
1	RNF2	0.0004210463466157708
1	KEL	0.00041934245451915724
1	EDNRB	0.00041911113468391827
1	EDNRA	0.00041902929699047026
1	ECE1	0.00041826470051298345
1	VEZF1	0.0004171738050109747
1	ADM	0.00041651778474741645
1	NPPC	0.0004159586971448127
1	LMNA	0.0004081809683066124
1	MMP9	0.0004062873078062471
1	HSPA8	0.00040131735539352623
1	PRKACA	0.00040124504643051346
1	BGN	0.00039948514754208515
1	ASS1	0.0003978529197479814
1	FBXO6	0.00039442295371385595
1	HSPA4	0.0003930450199383324
1	SUMO1	0.00039175613195660845
1	ELANE	0.00038759558971880267
1	ERBB2	0.00038539333941895197
1	IRF5	0.00038416376042815716
1	EFTUD2	0.0003748990137751637
1	RELA	0.0003734071358741155
1	PRKCZ	0.00037340363102785466
1	MYD88	0.0003695935138341317
1	BRCA1	0.0003667952439129997
1	FCN1	0.00036525531108057003
1	NUCB1	0.00036289640392066306
1	POR	0.00035761326877235616
1	NF2	0.0003574907119892195
1	IKBKG	0.0003572158852645271
1	MAPK14	0.0003561047706850368
1	H3C1	0.00035299817727556406
1	PTGES2	0.0003478131688131866
1	LYN	0.0003477245854427151
1	PTGES	0.0003476807031746184
1	PTGDS	0.0003460419927559673
1	PTGIS	0.00034230571215198224
1	EP300	0.0003422846207666922
1	HPGDS	0.0003420556454865697
1	TBXAS1	0.0003393115072603213
1	PKM	0.00033598891419829466
1	NFKB1	0.00033460217546353024
1	COPS5	0.00033097114072310493
1	FAM209A	0.00032864424308935036
1	CUL7	0.00032742583232249023
1	UGT1A10	0.000321696858060183
1	HSD17B3	0.0003215023263355642
1	HSD17B8	0.0003212064925361542
1	HNRNPL	0.00032100835130200345
1	CDK4	0.0003208082118783528
1	HSD17B7	0.00032033435653511613
1	HSD17B1	0.0003186589129304117
1	HSD17B2	0.0003184784910818722
1	UGT1A8	0.0003174368610299649
1	AQP6	0.0003172189600946742
1	UGT2B7	0.0003159660355249305
1	UGT2B17	0.0003149987472020769
1	UGT2B4	0.00031497884352701456
1	UGT2B28	0.0003147242790810569
1	STS	0.00031458736331258186
1	RNF4	0.00031313528145412214
1	GPR152	0.00031307293660339474
1	MAP1S	0.0003125217588690417
1	SRD5A1	0.0003118113827259271
1	SRD5A2	0.00031161592693493615
1	ERGIC3	0.000311087473470071
1	CAV2	0.0003107778802204731
1	DHX9	0.0003099030040086761
1	CSNK2A1	0.0003079593484843703
1	CDK6	0.00030483367553530355
1	CYP17A1	0.0003026052827029699
1	SGTA	0.00030215554033949875
1	CFTR	0.0003013371127332114
1	CCND2	0.00030028987072775213
1	PDZK1IP1	0.00029643733941210024
1	PIM1	0.00029295413485887136
1	CLU	0.00029095744639990207
1	A2M	0.00029033206302947923
1	MCM2	0.00028991573417969514
1	CCNE1	0.0002895884043325071
1	SMAD4	0.0002867354624853272
1	YWHAZ	0.00028438907968885644
1	HSP90AB1	0.00028304715641526483
1	UBQLN1	0.00028141688433749477
1	ASMT	0.0002789987892608394
1	DCN	0.00027841314932856783
1	IDO1	0.0002782419541004772
1	PHB2	0.0002778317692642135
1	LSS	0.00027670155262986637
1	PRKCA	0.0002735358907128231
1	TM7SF2	0.0002734826970384182
1	ADRB2	0.0002733789000647942
1	SGTB	0.00027040854480097704
