,Layer,Priapism nodes,Bladder_neoplasm nodes,sAB
0,disease_on_genes,30,26,0.18095238095238098
1,disease_on_symptoms,17,20,1.3775437201907788
2,disease_on_drugs,28,25,0.7011455525606469
