,Layer,Bronchiolitis nodes,Trigeminal_neuralgia nodes,sAB
0,disease_on_genes,23,28,0.3168463037388869
1,disease_on_symptoms,25,19,1.2376555023923448
2,disease_on_drugs,18,26,0.9201631701631703
