,Layer,Pulmonary_fibrosis nodes,Nephroblastoma nodes,sAB
0,disease_on_genes,24,25,0.1232482993197277
1,disease_on_symptoms,22,25,0.8411411992263056
2,disease_on_drugs,24,21,0.22222222222222232
