,Layer,Dyskinesia nodes,Duodenal_ulcer nodes,sAB
0,disease_on_genes,24,28,0.11652930402930406
1,disease_on_symptoms,17,17,1.9117647058823528
2,disease_on_drugs,23,28,0.8431372549019607
