,Layer,Hyperglycemia nodes,Breast_neoplasm nodes,sAB
0,disease_on_genes,30,30,0.08333333333333326
1,disease_on_symptoms,14,16,0.9758928571428571
2,disease_on_drugs,26,30,0.8035714285714286
