,Layer,Hypertensive_disorder nodes,Abdominal_pain nodes,sAB
0,disease_on_genes,26,30,0.09166666666666679
1,disease_on_symptoms,15,24,0.7714743589743589
2,disease_on_drugs,26,24,0.39833333333333343
