,Layer,Allergic_rhinitis nodes,Pityriasis_rubra_pilaris nodes,sAB
0,disease_on_genes,21,28,-0.1054421768707482
1,disease_on_symptoms,22,23,-0.37861220904699167
2,disease_on_drugs,21,26,-0.223871872808043
