,Layer,Cholecystitis nodes,Hematologic_neoplasm nodes,sAB
0,disease_on_genes,25,22,0.533191489361702
1,disease_on_symptoms,19,24,1.4496889024887802
2,disease_on_drugs,13,19,1.2000253036437247
