,Layer,Nephroblastoma nodes,Dyspareunia nodes,sAB
0,disease_on_genes,25,24,0.10326530612244889
1,disease_on_symptoms,25,17,0.6667226890756304
2,disease_on_drugs,21,23,0.07114624505928879
