,Layer,Cryptorchidism nodes,Cirrhosis_of_liver nodes,sAB
0,disease_on_genes,23,30,0.1843822843822842
1,disease_on_symptoms,18,14,1.0248015873015874
2,disease_on_drugs,18,26,0.48076923076923084
