,Layer,Neoplasm_of_uterus nodes,Stroke_disorder nodes,sAB
0,disease_on_genes,28,30,0.13604269293924443
1,disease_on_symptoms,19,15,0.3286893704850362
2,disease_on_drugs,28,30,0.7407635467980296
