,Layer,Neoplasm_of_stomach nodes,Thrombophlebitis nodes,sAB
0,disease_on_genes,23,28,0.14075630252100857
1,disease_on_symptoms,24,15,1.490705128205128
2,disease_on_drugs,22,21,0.6051797040169133
