,Layer,Thyroiditis nodes,Thrombophlebitis nodes,sAB
0,disease_on_genes,26,28,0.2021774521774522
1,disease_on_symptoms,28,15,1.182751937984496
2,disease_on_drugs,23,21,1.1373517786561265
