,Layer,Urinary_retention nodes,Kaposi_sarcoma nodes,sAB
0,disease_on_genes,30,15,0.49408866995073897
1,disease_on_symptoms,18,27,2.0722222222222224
2,disease_on_drugs,19,13,1.0148026315789473
