,Layer,Hypertrophic_cardiomyopathy nodes,Hyperpigmentation_of_the_skin nodes,sAB
0,disease_on_genes,30,24,0.29074074074074097
1,disease_on_symptoms,17,23,3.106969309462916
2,disease_on_drugs,17,12,0.8275862068965518
