GABRB1	CYP2D6
GABRB1	CYP2E1
GABRB1	CYP3A4
GABRB1	CYP3A5
GABRB1	CYP4B1
GABRB1	NPSR1
GABRB1	GNG2
GABRB1	GABRQ
GABRB1	KCNK9
GABRB1	PTGS1
GABRB1	CHRNA4
GABRB1	CHRNA7
GABRB1	ABCB1
GABRB1	KCNK18
GABRB1	KCNA1
GABRB1	KCNJ3
GABRB1	KCNJ6
GABRB1	KCNJ8
GABRB1	GLRA1
GABRB1	GLRA2
GABRB1	GLRB
GABRB1	KCNJ11
GABRB1	SCN1A
GABRB1	KCNK3
GABRB1	TSPO
GABRB1	KCNMA1
GABRB1	UGT2B7
GABRB1	UGT2B15
GABRB1	KCNN4
GABRB1	ALB
GABRB1	GRIN3A
GABRB1	GRIN3B
GABRB1	SLC52A2
GABRB1	ALPL
GABRB1	CALM1
GABRB1	CALM2
GABRB1	CALM3
GABRB1	CYP3A43
GABRB1	GLRA3
GABRB1	UGT1A9
GABRB1	GRIA1
GABRB1	GRIA2
GABRB1	GRIK2
GABRB1	GRIN2A
GABRB1	RHO
GABRB1	UGT1A4
GABRB1	ATP2C1
GABRB1	SLC16A3
GABRB1	SLC16A1
GABRB1	SLC22A1
GABRB1	SLC22A2
GABRB1	ND1
GABRB1	KCNK10
GABRB1	SLC16A7
GABRB1	GABRA1
GABRB1	GABRA2
GABRB1	GABRA3
GABRB1	GABRA4
GABRB1	GABRA5
GABRB1	GABRA6
CYP3A5	EPHB2
CYP3A5	EPHB3
CYP3A5	EPHB4
CYP3A5	EPHB6
CYP3A5	EPHX2
CYP3A5	NCOA3
CYP3A5	SBK3
CYP3A5	NAT2
CYP3A5	ERBB2
CYP3A5	ABCC4
CYP3A5	ERBB3
CYP3A5	ERBB4
CYP3A5	ABAT
CYP3A5	ABCA3
CYP3A5	ABL1
CYP3A5	AOC1
CYP3A5	ABL2
CYP3A5	MAOA
CYP3A5	ERN1
CYP3A5	MAOB
CYP3A5	ACADSB
CYP3A5	MAP2
CYP3A5	MAP4
CYP3A5	ACAT1
CYP3A5	SIGMAR1
CYP3A5	MAPT
CYP3A5	ACHE
CYP3A5	ESR1
CYP3A5	ESR2
CYP3A5	ESRRA
CYP3A5	RPS6KA3
