,Layer,Gastrointestinal_stromal_tumor nodes,Hyperpigmentation_of_the_skin nodes,sAB
0,disease_on_genes,30,30,-0.1333333333333333
1,disease_on_symptoms,19,17,-0.47927416580667326
2,disease_on_drugs,28,28,0.0714285714285714
