,Layer,Renal_tubular_acidosis nodes,Renal_neoplasm nodes,sAB
0,disease_on_genes,30,29,-0.05084745762711862
1,disease_on_symptoms,14,20,0.7338235294117645
2,disease_on_drugs,27,28,-0.041089466089466065
