,Layer,Status_epilepticus nodes,Pulmonary_hypertension nodes,sAB
0,disease_on_genes,30,28,-0.2931034482758621
1,disease_on_symptoms,18,18,-0.25
2,disease_on_drugs,30,27,-0.1581871345029241
