,Layer,Constipation nodes,Nocturia nodes,sAB
0,disease_on_genes,30,25,-0.16481481481481475
1,disease_on_symptoms,16,18,0.6407271241830066
2,disease_on_drugs,28,24,-0.03663003663003672
