,Layer,Muscle_spasm nodes,Abnormality_of_the_coagulation_cascade nodes,sAB
0,disease_on_genes,30,24,-0.01851851851851849
1,disease_on_symptoms,15,24,1.0076923076923077
2,disease_on_drugs,29,23,0.2048783300657364
