,Layer,Deep_venous_thrombosis nodes,Diabetes_mellitus nodes,sAB
0,disease_on_genes,30,21,0.03921568627450989
1,disease_on_symptoms,16,22,1.5578648325358853
2,disease_on_drugs,28,19,0.20124780035194378
