,Layer,Propionic_acidemia nodes,Osteoarthritis nodes,sAB
0,disease_on_genes,30,26,-0.34203296703296693
1,disease_on_symptoms,16,22,-0.48519736842105265
2,disease_on_drugs,30,25,-0.2527272727272727
