,Layer,Joint_hemorrhage nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,37,29,0.014205427998531306
1,coex_BST,15,20,0.21064023695602652
2,coex_OVR,21,25,0.359920634920635
3,coex_LNG,21,30,0.18253968253968234
4,coex_ITI,26,24,0.21403846153846162
5,coex_VGN,24,27,0.3203846153846155
6,coex_HRV,24,15,0.43848039215686274
7,coex_MSG,32,28,0.3358630952380952
8,coex_ADV,16,22,0.12824675324675328
9,coex_EMS,16,20,0.37708333333333366
10,coex_SMU,21,19,0.32951127819548853
11,coex_ARG,15,21,0.10476190476190483
12,coex_TST,30,24,0.016203703703703942
13,coex_PIT,34,25,-0.09731359649122817
14,coex_LVR,40,31,0.12412486938349021
15,coex_THY,19,21,0.2105263157894739
16,coex_PNC,27,23,0.11332528180354284
17,coex_ATC,24,20,0.00909090909090926
18,coex_BRO,27,27,0.18518518518518512
19,coex_SKN,24,23,0.396025472112429
20,coex_ADS,26,19,0.2250787224471429
21,coex_GEJ,16,21,0.24831081081081097
22,coex_BRB,21,18,-0.1057351994851996
23,coex_UTR,13,19,0.019610323886639414
24,coex_STM,31,23,0.0038439561581218307
25,coex_HRA,16,20,-0.11458333333333348
26,coex_PRS,19,24,-0.19606793145654855
27,coex_ATA,25,17,0.7011204481792714
28,coex_FIB,12,19,0.033877797943133725
29,coex_BRC,19,26,0.2439234449760761
30,coex_ATT,27,19,0.167055167055167
31,coex_TNV,22,13,0.003986209868562796
32,coex_SPL,35,34,0.9039758195768426
33,coex_LCL,12,12,0.07723978919631103
34,coex_CLS,25,23,0.15833333333333366
35,coex_EMC,24,26,0.514005016722408
36,coex_CLT,26,24,0.30117346938775524
37,coex_core,30,30,0.1653895274584931
38,coex_WBL,24,36,0.5428571428571431
39,co-essential,1,10,
40,GOBP,23,23,0.916854884246189
41,ppi,50,50,0.3500000000000001
42,reactome_copathway,31,16,0.6135397123202
43,MP,17,16,1.3842069892473114
44,HP,39,36,0.40572649572649566
45,GI_net,10,16,-0.3566666666666669
46,gene_gene_on_CbG_name_mapped,23,13,0.25631735414344115
47,gene_gene_on_GcG_name_mapped,32,30,-0.09364919354838697
48,GOMF,5,2,
